Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_PLACE,Geo_CSA,SE_T004_019,SE_T004_001,SE_T004_003,SE_T004_005,SE_T004_007,SE_T004_009,SE_T004_011,SE_T004_013,SE_T004_015,SE_T004_017,SE_T005_019,SE_T005_001,SE_T005_003,SE_T005_005,SE_T005_007,SE_T005_009,SE_T005_011,SE_T005_013,SE_T005_015,SE_T005_017,SE_T006_019,SE_T006_001,SE_T006_003,SE_T006_005,SE_T006_007,SE_T006_009,SE_T006_011,SE_T006_013,SE_T006_015,SE_T006_017,SE_T017_020,SE_T017_002,SE_T017_004,SE_T017_006,SE_T017_008,SE_T017_010,SE_T017_012,SE_T017_014,SE_T017_016,SE_T017_018
"06037101110","Census Tract 1011.10","Census Tract 1011.10, Los Angeles County, California","00","06","037",,"101110",,,4926,3545,2840,65,7,434,8,14,177,1381,4731,3407,2656,74,14,486,4,30,143,1324,195,138,184,-9,-7,-52,4,-16,34,57,4.12175015852885,4.05048429703552,6.92771084337349,-12.1621621621622,-50,-10.6995884773663,100,-53.3333333333333,23.7762237762238,4.30513595166163
"06037101122","Census Tract 1011.22","Census Tract 1011.22, Los Angeles County, California","00","06","037",,"101122",,,3728,3186,2614,31,7,392,0,23,119,542,3664,3089,2437,26,4,495,1,10,116,575,64,97,177,5,3,-103,-1,13,3,-33,1.74672489082969,3.14017481385562,7.26302831350021,19.2307692307692,75,-20.8080808080808,-100,130,2.58620689655172,-5.73913043478261
"06037101220","Census Tract 1012.20","Census Tract 1012.20, Los Angeles County, California","00","06","037",,"101220",,,3344,2263,1751,34,4,352,0,21,101,1081,3363,2091,1662,36,11,272,2,3,105,1272,-19,172,89,-2,-7,80,-2,18,-4,-191,-0.564971751412429,8.22572931611669,5.35499398315283,-5.55555555555556,-63.6363636363636,29.4117647058824,-100,600,-3.80952380952381,-15.0157232704403
"06037101221","Census Tract 1012.21","Census Tract 1012.21, Los Angeles County, California","00","06","037",,"101221",,,3444,2266,1840,73,3,246,3,10,91,1178,3434,2263,1745,89,4,261,3,5,156,1171,10,3,95,-16,-1,-15,0,5,-65,7,0.29120559114735,0.132567388422448,5.44412607449857,-17.9775280898876,-25,-5.74712643678161,0,100,-41.6666666666667,0.597779675491033
"06037101222","Census Tract 1012.22","Census Tract 1012.22, Los Angeles County, California","00","06","037",,"101222",,,2808,1768,1455,76,3,148,0,8,78,1040,2556,1508,1145,94,2,187,0,0,80,1048,252,260,310,-18,1,-39,0,8,-2,-8,9.85915492957746,17.2413793103448,27.0742358078603,-19.1489361702128,50,-20.855614973262,,,-2.5,-0.763358778625954
"06037101300","Census Tract 1013","Census Tract 1013, Los Angeles County, California","00","06","037",,"101300",,,4269,3786,3251,24,1,352,2,20,136,483,4197.63890486598,3694.82305303117,3189.12729782584,40.9759806741056,5,316.807845392845,3,7,132.911929138387,502.81585183481,71.3610951340161,91.1769469688256,61.8727021741634,-16.9759806741056,-4,35.1921546071552,-1,13,3.08807086161278,-19.8158518348096,1.70002939155374,2.46769454613058,1.94011390565515,-41.4291016220471,-80,11.1083595684054,-33.3333333333333,185.714285714286,2.32339631335687,-3.94097595819626
"06037101400","Census Tract 1014","Census Tract 1014, Los Angeles County, California","00","06","037",,"101400",,,3898,3167,2597,40,10,320,3,24,173,731,3903,3182,2649,45,7,337,0,7,137,721,-5,-15,-52,-5,3,-17,3,17,36,10,-0.128106584678452,-0.471401634192332,-1.96300490751227,-11.1111111111111,42.8571428571429,-5.04451038575668,,242.857142857143,26.2773722627737,1.3869625520111
"06037102103","Census Tract 1021.03","Census Tract 1021.03, Los Angeles County, California","00","06","037",,"102103",,,2107,1688,1407,46,1,140,6,22,66,419,1740,1365,1114,21,3,167,2,0,58,375,367,323,293,25,-2,-27,4,22,8,44,21.0919540229885,23.6630036630037,26.3016157989228,119.047619047619,-66.6666666666667,-16.1676646706587,200,,13.7931034482759,11.7333333333333
"06037102104","Census Tract 1021.04","Census Tract 1021.04, Los Angeles County, California","00","06","037",,"102104",,,3906,3350,2719,83,1,399,1,16,131,556,3648,3115,2437,86,3,470,3,7,109,533,258,235,282,-2.99999999999999,-2,-71,-2,9,22,23,7.07236842105262,7.54414125200642,11.5716044316783,-3.48837209302324,-66.6666666666667,-15.1063829787234,-66.6666666666667,128.571428571429,20.1834862385321,4.31519699812383
"06037102105","Census Tract 1021.05","Census Tract 1021.05, Los Angeles County, California","00","06","037",,"102105",,,1855,827,568,20,1,177,0,10,51,1028,1731,595,413,15,2,139,0,3,23,1136,124,232,155,5,-1,38,0,7,28,-108,7.16348931253611,38.9915966386555,37.5302663438257,33.3333333333333,-50,27.3381294964029,,233.333333333333,121.739130434783,-9.50704225352113
